3,100,1931,744,0.0161133,1.02441,-0.211914,-1.2207,-2.56348,4.39453,-2.7,62.25,-68.85,34.4669,-0.0836945,0.122167,0.766333,-0.625143,166.684,3.73833
3,100,1931,754,0.0234375,1.00781,-0.206543,-1.95313,-2.74658,4.15039,-3.45,62.7,-67.8,34.4739,-0.0832952,0.1223,0.766393,-0.625097,166.682,3.63617
3,100,1931,764,0.027832,1.0127,-0.205566,-1.89209,-2.92969,3.54004,-2.4,63.3,-68.1,34.4635,-0.0828896,0.122405,0.76646,-0.625048,166.68,3.67787
3,100,1931,775,0.0332031,1.00098,-0.187012,-1.34277,-2.68555,2.99072,-3.3,61.35,-67.2,34.4704,-0.0825175,0.122485,0.766504,-0.625027,166.678,3.68621
3,100,1931,785,0.0283203,1.01514,-0.20752,-0.671387,-2.74658,2.50244,-3.6,62.4,-67.95,34.4635,-0.0821793,0.122533,0.766498,-0.625071,166.676,3.65911
3,100,1931,795,0.0351563,1.00732,-0.209961,0.0610352,-3.41797,1.95313,-3.6,62.4,-68.7,34.4721,-0.0818376,0.122509,0.7665,-0.625118,166.674,3.632
3,100,1931,805,0.0498047,1.01025,-0.213379,-0.244141,-3.60107,1.2207,-3.45,63.75,-67.5,34.4687,-0.0814944,0.122437,0.766508,-0.625167,166.672,3.63826
3,100,1931,816,0.0454102,1.0083,-0.219727,-0.427246,-2.86865,0.366211,-2.25,61.8,-69,34.4739,-0.0811956,0.122365,0.766538,-0.625182,166.67,3.65077
3,100,1931,826,0.0439453,0.999023,-0.214844,-0.671387,-2.0752,-0.183105,-4.2,62.25,-67.8,34.4894,-0.0810015,0.122289,0.766574,-0.625178,166.668,3.65077
3,100,1931,836,0.0371094,1,-0.20459,-1.28174,-1.40381,-0.549316,-4.2,61.95,-66.75,34.4912,-0.0808636,0.122221,0.766644,-0.625123,166.666,3.64243
